User,Level,Deaths,Inputs,Hitwall,Time
testUser,Level1,0,0,0,8,81288051605225
testUser,Level2,0,0,0,12,0902290344238
testUser,Level3,0,0,0,15,6004590988159
testUser,Level1,0,0,0,42.3547477722168
